Name,Span,Matches,Innings,Not Outs,Runs,Highest Score,Average,BF,Strike Rate,Hundreds,Fifties,Ducks,Fours,Sixes
ZGF Foulkes (NZ),2024-2025,7,5,2,55,27*,18.33,37,148.64,0,0,1,3,2
GB Hogg (AUS),2006-2014,15,4,0,55,41,13.75,39,141.02,0,0,0,3,3
KM Jarvis (ZIM),2011-2019,22,12,5,55,27,7.85,64,85.93,0,0,4,1,4
K Mirpuri (GIBR),2023-2024,22,11,10,55,18*,55.00,75,73.33,0,0,0,1,0
Nilansh Keswani (UAE),2023-2024,12,6,5,55,31*,55.00,49,112.24,0,0,0,5,0
Rasheed Ali Mamadkhel (SVN),2024-2024,6,6,1,55,17,11.00,59,93.22,0,0,0,1,2
P Vekaria (RWN),2021-2021,8,6,4,55,20,27.50,38,144.73,0,0,0,3,4
KM Venkataswamy (CZK-R),2022-2022,1,1,0,55,55,55.00,41,134.14,0,1,0,3,2
Yasir Mehmood (CYP),2021-2021,4,3,3,55,31*,-,52,105.76,0,0,0,2,3
MJ Ansell (IOM),2020-2024,22,10,2,54,17,6.75,66,81.81,0,0,1,2,3
SE Aquilina (MLT),2019-2021,16,7,1,54,24,9.00,66,81.81,0,0,0,4,1
Arsalan Ahmed (GRC),2019-2021,7,5,0,54,22,10.80,47,114.89,0,0,0,9,1
HS Baidwan (CAN),2008-2013,17,11,2,54,21,6.00,52,103.84,0,0,4,4,1
V Baskaran (SGP),2019-2022,33,17,6,54,14*,4.90,89,60.67,0,0,3,0,1
JW Chilia (VAN),2019-2019,14,7,4,54,23,18.00,54,100.00,0,0,0,3,3
GD Drummond (SCOT),2008-2013,17,7,0,54,35,7.71,65,83.07,0,0,2,3,0
Ghulam Ahmadi (GER),2021-2024,44,15,13,54,15*,27.00,47,114.89,0,0,0,5,0
Ismaeel Zia (SWE),2022-2022,8,6,0,54,22,9.00,68,79.41,0,0,1,6,0
E Kahamker (ISR),2022-2022,4,4,0,54,19,13.50,52,103.84,0,0,0,5,1
MSS Mandy (Chile),2019-2019,4,4,0,54,32,13.50,67,80.59,0,0,0,8,0
A Manepalli (LUX),2020-2024,8,7,1,54,22,9.00,58,93.10,0,0,0,3,1
H McAleer (IOM),2024-2024,5,5,0,54,23,10.80,75,72.00,0,0,0,3,0
Mujeeb Ur Rahman (AFG),2018-2024,49,14,8,54,21,9.00,44,122.72,0,0,2,6,3
AK Muslar (Blz),2019-2021,9,9,2,54,15,7.71,99,54.54,0,0,2,3,2
SMA Priyanjan (SL),2017-2017,3,3,2,54,40*,54.00,62,87.09,0,0,0,1,2
Saghar Manzoor (CRT),2024-2024,5,5,0,54,38,10.80,47,114.89,0,0,2,6,3
S Sola (Samoa),2019-2022,10,8,1,54,18,7.71,75,72.00,0,0,0,2,3
Swann Htet Ko Ko (MYAN),2023-2024,15,13,4,54,11,6.00,107,50.46,0,0,1,0,1
Yair Nagavkar (ISR),2022-2024,8,7,2,54,32*,10.80,71,76.05,0,0,1,3,0
Anik Ahmed (ITA),2022-2022,4,4,2,53,26*,26.50,58,91.37,0,0,1,2,0
Aphsal Ashraf (KUW),2020-2020,5,3,1,53,45*,26.50,32,165.62,0,0,0,1,5
DL Chahar (IND),2018-2023,25,7,5,53,31,26.50,28,189.28,0,0,1,4,4
Saeed Ahmed (SWE),2023-2024,9,6,0,53,18,8.83,55,96.36,0,0,1,4,2
Sajid Patel (LES),2024-2024,4,4,0,53,42,13.25,59,89.83,0,0,0,7,0
J Suleman (SWZ),2024-2024,5,4,0,53,35,13.25,62,85.48,0,0,1,2,3
Usman Limbada (CAN),2010-2013,7,3,2,53,21*,53.00,41,129.26,0,0,0,6,0
Faisal Mehmood (Belg),2021-2023,5,5,0,52,23,10.40,47,110.63,0,0,1,6,2
MJ Hay (NZ),2024-2025,5,5,1,52,41*,13.00,35,148.57,0,0,2,4,2
S Kamate (Mali),2022-2024,15,13,0,52,17,4.00,118,44.06,0,0,5,6,0
RP Magar (NEP),2014-2015,6,6,0,52,25,8.66,89,58.42,0,0,1,0,3
ML Maiava (Samoa),2023-2023,3,3,0,52,34,17.33,50,104.00,0,0,0,3,0
BAD Manenti (ITA),2023-2023,5,5,0,52,22,10.40,43,120.93,0,0,1,7,2
Ovais Yousof (NGA),2019-2019,3,3,0,52,33,17.33,70,74.28,0,0,0,5,0
Saif Hassan (BAN),2021-2023,5,5,1,52,50*,13.00,64,81.25,0,1,2,1,3
S Sankar (KSA),2024-2024,9,5,1,52,37,13.00,59,88.13,0,0,1,4,0
V Shaw (Sur),2024-2024,7,6,1,52,22,10.40,70,74.28,0,0,1,4,2
C Tear (SCOT),2024-2024,5,5,0,52,16,10.40,63,82.53,0,0,0,5,1
V Zanko (CRT),2023-2024,7,6,0,52,16,8.66,128,40.62,0,0,1,6,0
Abdullah Jasat (PAN),2021-2023,10,10,2,51,17*,6.37,46,110.86,0,0,3,5,2
IS Billcliff (CAN),2010-2010,2,2,0,51,37,25.50,39,130.76,0,0,0,3,2
SG Diaby (Mali),2022-2023,9,7,3,51,41*,12.75,48,106.25,0,0,2,2,3
TGJ Gruijters (NED),2012-2013,8,5,3,51,21*,25.50,47,108.51,0,0,0,3,1
Huang Junjie (CHN),2024-2024,7,7,0,51,19,7.28,126,40.47,0,0,2,3,0
Junaid Siddiqui (CAN),2012-2024,22,8,3,51,21,10.20,45,113.33,0,0,1,2,2
Naseem Shah (PAK),2022-2024,30,11,4,51,16,7.28,46,110.86,0,0,4,4,3
SN Pathirana (CYP),2021-2024,19,11,5,51,16*,8.50,81,62.96,0,0,1,0,1
Raqibul Hasan (BAN),2008-2010,5,5,0,51,18,10.20,62,82.25,0,0,0,3,1
Sahel Zadran (Aut),2021-2023,28,14,4,51,19,5.10,58,87.93,0,0,4,2,2
Shenjian Zheng (CHN),2024-2024,4,4,0,51,23,12.75,40,127.50,0,0,0,4,4
Sohail Ahmad (CRT),2022-2023,9,6,0,51,20,8.50,52,98.07,0,0,0,1,3
Sohel Patel (PAN),2023-2023,4,4,0,51,22,12.75,58,87.93,0,0,0,6,0
DC Thomas (WI),2009-2022,12,8,2,51,31*,8.50,54,94.44,0,0,0,4,2
HA Varaiya (KENYA),2007-2013,25,12,11,51,18*,51.00,81,62.96,0,0,0,1,0
Zhuang Zelin (CHN),2023-2024,11,11,1,51,33,5.10,92,55.43,0,0,3,2,0
P Zuze (MWI),2023-2024,18,10,3,51,21,7.28,87,58.62,0,0,1,2,0
Agha Salman (PAK),2024-2024,6,5,0,50,32,10.00,63,79.36,0,0,1,4,0
Andre Jarju (GMB),2022-2024,11,11,3,50,15,6.25,109,45.87,0,0,3,5,0
Z Arinaitwe (UGA),2019-2020,6,6,0,50,15,8.33,60,83.33,0,0,0,8,1
T Filer (EST),2021-2021,5,5,0,50,38,10.00,55,90.90,0,0,3,4,1
Hamid Hassan (AFG),2010-2021,25,9,6,50,22,16.66,46,108.69,0,0,0,3,2
K Hardat (Sur),2024-2024,7,7,1,50,26,8.33,57,87.71,0,0,1,7,0
Iftekar Jaman (CYP),2021-2022,5,4,1,50,22,16.66,36,138.88,0,0,0,3,4
Md Nurul Huda (FIN),2019-2019,5,4,2,50,30*,25.00,32,156.25,0,0,0,4,2
Mohammad Yousuf (PAK),2006-2010,3,3,0,50,26,16.66,43,116.27,0,0,0,5,1
Waqas Ali (Belg),2019-2024,7,5,0,50,14,10.00,64,78.12,0,0,0,0,2
U Bhatti (CAN),2008-2010,7,7,3,49,12,12.25,48,102.08,0,0,0,3,1
TL Chatara (ZIM),2010-2024,60,16,10,49,8,8.16,77,63.63,0,0,2,2,0
KA Jadhav (CAM),2022-2023,6,6,1,49,22*,9.80,99,49.49,0,0,1,4,0
KA Jamieson (NZ),2020-2023,13,5,3,49,30,24.50,33,148.48,0,0,0,7,0
CU Jayasinghe (SL),2009-2010,5,3,2,49,38,49.00,49,100.00,0,0,0,3,1
Jubaid Ahamed (Fran),2021-2022,9,8,3,49,13,9.80,46,106.52,0,0,1,2,2
A Khan (DEN/ENG),2009-2022,9,7,0,49,16,7.00,54,90.74,0,0,0,2,1
HG Kuhn (SA),2009-2017,7,6,2,49,29,12.25,42,116.66,0,0,0,3,2
P Magafas (GRC),2022-2022,4,3,0,49,30,16.33,50,98.00,0,0,0,5,0
J Marples (GIBR),2021-2024,20,8,3,49,16,9.80,61,80.32,0,0,0,3,0
I Master (BOT),2019-2022,6,6,1,49,40,9.80,51,96.07,0,0,1,3,0
Nanda Kumar (CRC),2019-2019,3,3,0,49,39,16.33,58,84.48,0,0,1,3,2
Naseem Khan (CRT),2022-2023,8,5,0,49,27,9.80,56,87.50,0,0,0,5,2
SD Outerbridge (BER),2008-2008,3,3,1,49,37*,24.50,51,96.07,0,0,0,2,1
E Packard (GIBR),2019-2021,8,7,0,49,26,7.00,73,67.12,0,0,0,3,1
Parvindar Kumar (KUW),2023-2024,11,5,1,49,19,12.25,40,122.50,0,0,0,2,3
N Pokana (PNG),2016-2024,31,13,6,49,12,7.00,62,79.03,0,0,1,0,2
DA Rankin (IRE),2015-2016,2,2,0,49,34,24.50,54,90.74,0,0,0,3,2
BA Viraliliu (VAN),2023-2024,3,2,0,49,39,24.50,40,122.50,0,0,0,4,0
K Weeraratne (SL),2008-2009,5,5,2,49,20*,16.33,45,108.88,0,0,0,4,1
Hashmatullah Shahidi (AFG),2013-2022,6,4,2,48,36,24.00,55,87.27,0,0,0,5,0
Maqsood Ahmad (Belg),2021-2022,6,5,1,48,29,12.00,49,97.95,0,0,0,6,0
A Modi (SGP),2022-2022,7,6,1,48,24,9.60,78,61.53,0,0,1,1,0
Muhammad Nadeem (KSA),2019-2019,5,3,0,48,43,16.00,49,97.95,0,0,0,7,1
MIA Patel (MWI),2019-2019,3,2,1,48,40*,48.00,44,109.09,0,0,0,6,1
Qalandar Khan (QAT),2019-2019,4,3,0,48,25,16.00,43,111.62,0,0,0,2,3
KB Ahir (PAN),2019-2023,15,9,9,48,32*,-,51,94.11,0,0,0,5,2
L Shafeeg (MDV),2019-2024,25,11,5,48,19*,8.00,62,77.41,0,0,4,3,1
C Zhuwao (ZIM),2008-2018,7,7,0,48,24,6.85,66,72.72,0,0,4,7,1
R Athapaththu (ROM),2023-2024,7,5,5,47,28*,-,31,151.61,0,0,0,2,3
LT Bichard (GUE),2020-2024,28,7,5,47,25*,23.50,49,95.91,0,0,0,4,0
K Gore (USA),2019-2021,8,3,1,47,31,23.50,28,167.85,0,0,0,4,2
IG Holland (USA),2021-2021,6,3,1,47,39*,23.50,52,90.38,0,0,0,4,0
H Ivanov (BUL),2019-2021,13,8,1,47,15,6.71,51,92.15,0,0,2,3,1
AB Kamara (SLE),2021-2021,9,7,2,47,10*,9.40,70,67.14,0,0,1,2,0
LJ Leokaoke (LES),2024-2024,8,7,1,47,22,7.83,89,52.80,0,0,0,3,0
D Uwimana (RWN),2021-2021,6,5,3,47,16*,23.50,69,68.11,0,0,0,5,0
TS Waqavakatoga (Fiji),2022-2024,10,8,3,47,18,9.40,46,102.17,0,0,1,2,2
D Weston (GER),2019-2019,6,6,0,47,18,7.83,54,87.03,0,0,2,5,1
Zahid Khan (SLE),2021-2022,10,8,0,47,27,5.87,61,77.04,0,0,1,4,1
Ali Zaheer (KUW),2022-2023,6,5,2,46,13*,15.33,55,83.63,0,0,0,4,0
CA Brown (Blz),2021-2021,4,4,0,46,27,11.50,61,75.40,0,0,0,6,0
Chaudhary Akram (NOR),2023-2024,4,2,0,46,36,23.00,62,74.19,0,0,0,3,0
M Cope (LUX),2019-2024,13,9,5,46,15*,11.50,52,88.46,0,0,0,5,0
KM Dabengwa (ZIM),2006-2010,8,7,3,46,16*,11.50,40,115.00,0,0,0,4,2
MS Diakite (Mali),2022-2024,11,11,0,46,14,4.18,74,62.16,0,0,4,8,0
K Gupta (Chile),2019-2019,4,4,1,46,19*,15.33,64,71.87,0,0,1,1,0
S Guruvayoorappan (Mex),2023-2024,7,4,1,46,20,15.33,68,67.64,0,0,1,4,0
JW Hastings (AUS),2010-2016,9,6,2,46,15,11.50,37,124.32,0,0,0,3,1
MM Iqbal (SCOT),2012-2013,6,3,0,46,31,15.33,45,102.22,0,0,0,4,1
K Kato-Stafford (JPN),2024-2024,10,6,3,46,21,15.33,31,148.38,0,0,2,6,1
Kuldeep Yadav (IND),2017-2024,40,7,3,46,23*,11.50,59,77.96,0,0,2,2,0
Luke Ward (IOM),2023-2024,5,5,3,46,17*,23.00,45,102.22,0,0,0,4,1
S Maduranga (SKOR),2024-2024,6,6,2,46,14,11.50,77,59.74,0,0,0,3,1
Mohammad Wasim (1) (PAK),2021-2024,29,11,7,46,12*,11.50,53,86.79,0,0,1,5,1
I Ntirenganya (RWN),2022-2024,38,21,11,46,16*,4.60,71,64.78,0,0,5,4,0
Omar Hussain (LES),2021-2024,9,9,1,46,33,5.75,63,73.01,0,0,4,4,1
S Pillai (CRC),2019-2024,8,7,0,46,19,6.57,71,64.78,0,0,1,6,0
RA Reifer (WI),2022-2023,3,2,0,46,27,23.00,41,112.19,0,0,0,1,2
Sharafuddin Ashraf (AFG),2015-2024,19,12,6,46,18,7.66,55,83.63,0,0,2,4,1
JJ van der Wath (SA),2006-2007,8,4,1,46,21,15.33,39,117.94,0,0,0,3,1
GJ van Rensburg (NAM),2024-2024,4,4,0,46,19,11.50,76,60.52,0,0,0,4,0
Abdullah Shahid (MDV),2022-2022,3,3,0,45,34,15.00,56,80.35,0,0,0,4,1
S Ateak (GHA),2019-2019,3,3,0,45,26,15.00,48,93.75,0,0,0,6,1
A Conteh (GMB),2022-2023,9,8,0,45,9,5.62,81,55.55,0,0,1,4,0
L Gregory (ENG),2019-2021,9,7,1,45,15,7.50,41,109.75,0,0,1,2,2
Haseeb Amjad (HKG),2014-2016,18,10,6,45,12*,11.25,45,100.00,0,0,0,3,1
J Henry (STHEL),2022-2022,7,5,0,45,17,9.00,45,100.00,0,0,0,1,2
MG Hunter (GIBR),2019-2019,4,3,0,45,27,15.00,61,73.77,0,0,0,2,1
J Jojo (DEN),2019-2022,13,8,4,45,13,11.25,33,136.36,0,0,1,2,1
TE Kane (IRE),2015-2023,9,4,1,45,26*,15.00,34,132.35,0,0,0,6,0
FJ Klaassen (NED),2018-2024,39,15,5,45,13,4.50,53,84.90,0,0,4,2,0
O Lutbayar (MNG),2023-2024,14,13,0,45,18,3.46,85,52.94,0,0,4,2,1
NJ Maddinson (AUS),2013-2018,6,4,0,45,34,11.25,35,128.57,0,0,0,6,1
JWN Moses (BOT),2019-2021,7,6,0,45,20,7.50,50,90.00,0,0,0,4,1
JA Richardson (AUS),2017-2022,18,8,5,45,11,15.00,51,88.23,0,0,1,3,1
R Siriwardena (CYP),2024-2024,9,7,3,45,18*,11.25,64,70.31,0,0,0,5,0
K Suttisan (THA),2019-2023,4,4,0,45,26,11.25,55,81.81,0,0,1,5,0
Atif Kamal (LUX),2019-2022,15,10,2,44,12,5.50,58,75.86,0,0,4,2,1
Atif Mehmood (ESP),2019-2024,30,8,5,44,15,14.66,45,97.77,0,0,1,2,2
M Badenhorst (BOT),2023-2024,11,8,3,44,17*,8.80,57,77.19,0,0,2,0,3
Breeze Ahir (PAN),2024-2024,7,7,1,44,21,7.33,67,65.67,0,0,1,3,0
JM Davison (CAN),2008-2010,5,5,0,44,19,8.80,40,110.00,0,0,2,2,3
Delroy Leo (STHEL),2024-2024,3,2,0,44,31,22.00,55,80.00,0,0,0,1,2
G Ganbold (MNG),2024-2024,13,13,1,44,12,3.66,121,36.36,0,0,2,1,0
JS Henriksen (DEN),2023-2024,5,4,1,44,22*,14.66,44,100.00,0,0,0,2,0
J Horrocks (GIBR),2023-2024,15,8,3,44,20*,8.80,47,93.61,0,0,2,0,1
Ismat Ullah (BRA),2019-2019,4,4,0,44,42,11.00,47,93.61,0,0,1,4,1
JM Joao (MOZ),2022-2024,13,6,1,44,18,8.80,64,68.75,0,0,0,4,0
Naveen-ul-Haq (AFG),2019-2024,48,14,5,44,13,4.88,65,67.69,0,0,3,5,1
RJ Pierre (RWN),2024-2024,8,8,2,44,15*,7.33,60,73.33,0,0,1,2,1
Rameez Khan (ROM),2024-2024,5,3,0,44,23,14.66,29,151.72,0,0,0,3,3
Saad Nasim (PAK),2014-2014,3,2,0,44,25,22.00,53,83.01,0,0,0,0,1
K Sonavale (OMA),2024-2024,3,3,0,44,20,14.66,51,86.27,0,0,0,4,0
P Arrighi (Arg),2019-2023,8,6,0,43,18,7.16,77,55.84,0,0,1,1,0
S Badree (WI/World),2012-2018,52,16,10,43,14*,7.16,65,66.15,0,0,0,1,1
S Badrinath (IND),2011-2011,1,1,0,43,43,43.00,37,116.21,0,0,0,5,0
JC Balt (NAM),2024-2024,5,4,1,43,22,14.33,54,79.62,0,0,1,1,0
TS Chisoro (ZIM),2015-2020,14,7,3,43,14*,10.75,47,91.48,0,0,0,2,2
LR Gaonkar (PAN),2023-2023,4,4,0,43,23,10.75,55,78.18,0,0,0,1,1
J Gumbie (ZIM),2024-2024,3,3,0,43,17,14.33,52,82.69,0,0,0,6,0
L Karlsson (SWE),2021-2022,16,7,2,43,14,8.60,45,95.55,0,0,1,3,1
NO Miller (WI),2009-2014,9,5,4,43,15*,43.00,47,91.48,0,0,0,2,0
GC Murtaza (CAM),2023-2024,27,11,3,43,9,5.37,81,53.08,0,0,3,1,0
B Muzarabani (ZIM),2018-2024,67,27,13,43,9*,3.07,67,64.17,0,0,7,5,1
J Perman (ESP),2019-2021,7,4,1,43,30*,14.33,36,119.44,0,0,0,3,3
DV Varghese (BUL),2020-2023,31,11,5,43,17,7.16,63,68.25,0,0,1,2,0
M Worndl (CZK-R),2024-2024,5,5,1,43,30*,10.75,89,48.31,0,0,2,3,0
Abdullah Rana (SUI),2023-2024,8,5,1,42,25,10.50,27,155.55,0,0,1,4,2
Amjad Ali (UAE),2014-2015,5,5,1,42,20,10.50,52,80.76,0,0,0,6,0
Asad Ali Rehemtulla (BUL),2020-2022,16,11,4,42,16,6.00,55,76.36,0,0,3,3,0
Asim Ashraf (GMB),2024-2024,3,3,0,42,19,14.00,76,55.26,0,0,0,5,0
J Chaturanga (BHR),2022-2022,4,4,0,42,20,10.50,42,100.00,0,0,1,5,1
A Chaudhary (SGP),2023-2024,5,4,0,42,37,10.50,44,95.45,0,0,1,5,0
S Fouche (NAM),2024-2024,3,2,1,42,40*,42.00,49,85.71,0,0,0,5,0
SP Guzman (PAN),2021-2021,5,5,0,42,13,8.40,52,80.76,0,0,0,6,1
J Hill (PHI),2019-2023,9,8,1,42,11,6.00,73,57.53,0,0,1,3,0
Izaz Ali (SVN),2024-2024,6,6,0,42,18,7.00,41,102.43,0,0,1,2,1
NG Jones (IRE),2010-2012,5,4,2,42,14*,21.00,38,110.52,0,0,1,1,2
LE Plunkett (ENG),2006-2019,22,11,4,42,18,6.00,34,123.52,0,0,3,3,1
T Rapi (Samoa),2023-2023,3,3,0,42,28,14.00,34,123.52,0,0,0,5,1
Ravi Bishnoi (IND),2022-2024,37,9,3,42,9,7.00,33,127.27,0,0,1,5,1
AT Rayudu (IND),2014-2016,6,5,1,42,20,10.50,50,84.00,0,0,2,5,0
M Sert (TKY),2019-2019,4,4,1,42,16,14.00,59,71.18,0,0,0,5,0
G Singhdeo (CRC),2024-2024,5,5,1,42,22*,10.50,61,68.85,0,0,1,7,0
SD Valjalo (CRT),2022-2022,5,5,1,42,14,10.50,54,77.77,0,0,0,4,0
Abdur Razzak (BAN),2006-2014,34,20,10,41,9,4.10,74,55.40,0,0,5,1,0
Ali Mohammadipour (Iran),2020-2020,3,3,1,41,19,20.50,44,93.18,0,0,0,6,0
NK Aneesh Kumar (SUI),2021-2024,21,9,3,41,25,6.83,44,93.18,0,0,2,1,3
NN Banner (Blz),2021-2024,10,8,5,41,12*,13.66,47,87.23,0,0,0,1,1
ML Bojang (GMB),2022-2023,8,8,0,41,11,5.12,61,67.21,0,0,1,2,1
S Browne (LUX),2020-2020,4,4,0,41,21,10.25,49,83.67,0,0,1,4,0
DK Dahyabhai Ahir (PAN),2019-2024,10,7,3,41,12*,10.25,56,73.21,0,0,0,2,0
P Dhiman (ESP),2022-2022,4,4,0,41,29,10.25,55,74.54,0,0,0,0,1
B Evans (ZIM),2022-2023,8,6,2,41,19,10.25,40,102.50,0,0,0,1,1
E Jabarkhel (LUX),2023-2023,10,8,2,41,16*,6.83,46,89.13,0,0,1,5,0
K Jethi (CAN),2008-2008,5,5,1,41,24,10.25,59,69.49,0,0,1,0,2
P Malav (LUX),2020-2024,28,12,4,41,10*,5.12,54,75.92,0,0,2,3,0
ZE Matsinhe (MOZ),2019-2022,22,8,2,41,23,6.83,61,67.21,0,0,1,3,1
L Ngidi (SA),2017-2024,43,13,8,41,13*,8.20,52,78.84,0,0,2,4,0
Noor Ahmad (AFG),2022-2024,14,8,2,41,12,6.83,53,77.35,0,0,1,1,3
K Pala (PNG),2015-2015,2,2,1,41,22*,41.00,30,136.66,0,0,0,4,2
Qasim Akram (PAK),2023-2024,4,3,0,41,20,13.66,45,91.11,0,0,0,6,0
Tahir Patel (SWZ),2022-2022,6,6,1,41,15,8.20,76,53.94,0,0,0,5,0
J Theron (SA/USA),2010-2022,18,7,7,41,31*,-,27,151.85,0,0,0,4,1
Walter Behr (GER),2022-2022,8,5,1,41,22,10.25,38,107.89,0,0,0,2,2
Sarfraz Butt (KSA),2020-2023,10,5,1,41,16,10.25,48,85.41,0,0,0,3,0
AD Algar (ESP),2020-2023,6,2,1,40,28,40.00,50,80.00,0,0,0,2,1
Ali Dawood (BHR),2023-2024,28,12,6,40,8,6.66,60,66.66,0,0,0,2,1
Amir Hamza (AFG),2013-2021,33,9,5,40,21,10.00,38,105.26,0,0,1,3,1
MM Baig (QAT),2023-2024,14,12,3,40,13,4.44,52,76.92,0,0,3,2,1
PS Bais (Mex),2023-2024,15,11,6,40,12,8.00,58,68.96,0,0,2,3,0
Ben Jones (EST),2023-2023,1,1,0,40,40,40.00,41,97.56,0,0,0,3,0
BCJ Cutting (AUS/World),2013-2017,7,5,1,40,29,10.00,27,148.14,0,0,1,2,3
Imran Bulbulia (PAN),2019-2019,3,3,0,40,32,13.33,42,95.23,0,0,1,4,1
Akhil Kumar (CAN),2024-2024,6,4,3,40,14*,40.00,32,125.00,0,0,0,3,2
A Maheshwari (CRT),2022-2024,12,10,0,40,16,4.00,65,61.53,0,0,3,3,2
J Pant (LUX),2023-2023,1,1,0,40,40,40.00,29,137.93,0,0,0,4,1
S Rakshit (CZK-R),2019-2019,6,5,1,40,21,10.00,44,90.90,0,0,1,5,1
D Rawat (CRC),2024-2024,5,5,0,40,37,8.00,47,85.10,0,0,1,5,0
A Bhadauria (LUX),2022-2022,2,2,0,40,21,20.00,31,129.03,0,0,0,6,0
Tariq Aziz (PORT),2019-2019,4,4,1,40,23,13.33,47,85.10,0,0,1,1,2
Tian Sen Qun (CHN),2023-2024,11,11,0,40,11,3.63,109,36.69,0,0,3,1,0
S Udhayan (SEY),2021-2022,10,6,1,40,19,8.00,34,117.64,0,0,2,3,2
Umair Tariq (Aut),2021-2024,18,7,1,40,12*,6.66,49,81.63,0,0,0,1,1
KDK Vithanage (SL),2014-2016,3,3,0,40,38,13.33,34,117.64,0,0,0,7,0
J Danikula (CRT),2024-2024,5,5,0,39,19,7.80,68,57.35,0,0,1,3,0
JC Darji (TAN),2021-2022,8,7,0,39,16,5.57,55,70.90,0,0,3,5,0
RR David (CAN),2008-2008,4,4,0,39,17,9.75,65,60.00,0,0,0,2,1
I Kamara (SLE),2022-2023,11,9,3,39,16,6.50,81,48.14,0,0,2,2,1
Muhammed Turkmen (TKY),2023-2024,6,4,0,39,23,9.75,27,144.44,0,0,0,3,3
CT Mumba (ZIM),2020-2023,9,4,1,39,25,13.00,38,102.63,0,0,0,4,1
Munir Dar (HKG),2014-2014,2,2,0,39,36,19.50,33,118.18,0,0,0,3,1
FL Patel (PAN),2023-2023,6,6,0,39,23,6.50,49,79.59,0,0,1,5,0
Rafatullah Mohmand (PAK),2015-2015,3,3,0,39,23,13.00,45,86.66,0,0,1,4,0
S Rossi (Arg),2019-2023,10,9,1,39,13,4.87,43,90.69,0,0,4,2,1
S Sarthak (BHR),2024-2024,4,3,1,39,26,19.50,34,114.70,0,0,0,2,1
S Tobgay (BHU),2019-2019,2,2,0,39,24,19.50,58,67.24,0,0,0,1,0
D Ahir (PAN),2021-2021,5,5,0,38,16,7.60,36,105.55,0,0,2,3,2
Rehan Ahmed (ENG),2023-2024,10,6,2,38,11,9.50,29,131.03,0,0,1,4,2
RI Ahmed (NED),2015-2015,2,2,0,38,25,19.00,50,76.00,0,0,0,2,0
J Baguma (UGA),2022-2024,18,7,4,38,11*,12.66,50,76.00,0,0,0,3,0
P Chin (CAY),2022-2023,9,4,0,38,27,9.50,55,69.09,0,0,1,1,0
MS Diawara (Mali),2022-2023,10,8,0,38,11,4.75,102,37.25,0,0,2,2,0
A Djorovic (SRB),2019-2023,11,7,3,38,15,9.50,73,52.05,0,0,0,4,0
R Flannigan (SCOT),2012-2012,4,4,1,38,18,12.66,33,115.15,0,0,1,4,0
A Gorawara (HKG),2023-2024,4,4,0,38,20,9.50,37,102.70,0,0,0,2,2
Imran Haider (ROM),2019-2021,4,3,0,38,19,12.66,40,95.00,0,0,0,4,1
Irfan Sarfraz (KSA),2022-2022,4,3,0,38,18,12.66,55,69.09,0,0,0,2,0
AK Kitchen (NZ),2017-2018,5,4,1,38,16,12.66,32,118.75,0,0,0,3,1
BF Mailata (Samoa),2019-2019,4,4,0,38,17,9.50,48,79.16,0,0,0,2,1
Mohammed Sameer (BHR),2020-2020,2,2,0,38,28,19.00,29,131.03,0,0,0,6,1
D Mongia (IND),2006-2006,1,1,0,38,38,38.00,45,84.44,0,0,0,4,1
F Mutizwa (ZIM),2011-2012,3,3,0,38,22,12.66,36,105.55,0,0,1,3,0
Ngawang Thinley (BHU),2022-2024,11,9,3,38,11*,6.33,48,79.16,0,0,1,3,1
D Padikkal (IND),2021-2021,2,2,0,38,29,19.00,38,100.00,0,0,0,2,1
H Pragji (BOT),2019-2019,4,4,1,38,30*,12.66,65,58.46,0,0,0,1,0
Shariz Ahmad (NED),2022-2024,11,5,2,38,16*,12.66,32,118.75,0,0,0,4,0
DS Vosloo (MLT),2021-2021,2,2,1,38,23*,38.00,37,102.70,0,0,0,2,0
BJ Watling (NZ),2009-2014,5,4,0,38,22,9.50,58,65.51,0,0,0,3,0
Zaheer Zahiri (Fran),2024-2024,8,6,3,38,20,12.66,36,105.55,0,0,1,3,1
SJ Benn (WI),2008-2016,24,7,4,37,13*,12.33,42,88.09,0,0,1,5,1
VD Chandra (PAN),2019-2019,3,2,0,37,26,18.50,30,123.33,0,0,0,3,3
Danish Aziz (PAK),2021-2021,2,2,0,37,22,18.50,35,105.71,0,0,0,1,1
B Fernando (SL),2015-2025,20,6,3,37,20,12.33,39,94.87,0,0,1,2,1
JS Foster (ENG),2009-2009,5,5,2,37,14*,12.33,32,115.62,0,0,0,0,1
RM Hira (NZ),2012-2013,15,3,1,37,20*,18.50,33,112.12,0,0,0,4,1
J Hirschi (MLT),2019-2019,4,4,0,37,13,9.25,62,59.67,0,0,0,0,0
ML Kostic (SRB),2022-2022,9,7,1,37,15,6.16,45,82.22,0,0,0,5,0
A Krishna (SGP),2019-2023,18,11,7,37,21*,9.25,48,77.08,0,0,3,4,0
D Manani (ROM),2019-2021,3,2,1,37,19*,37.00,32,115.62,0,0,0,4,1
Mohamed Shiyam (MDV),2024-2024,5,4,2,37,25*,18.50,54,68.51,0,0,1,4,0
Sarfaraj Patel (LES),2021-2021,6,6,1,37,10*,7.40,55,67.27,0,0,0,2,0
Shoriful Islam (BAN),2021-2024,42,17,7,37,6,3.70,38,97.36,0,0,4,5,1
